wals code	name	value	description	latitude	longitude	genus	family	area
tab	Taba	2	Affixes on verbs	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Verbal Categories
tag	Tagalog	3	Other	15.0	121.0	Greater Central Philippine	Austronesian	Verbal Categories
tml	Tamil	2	Affixes on verbs	11.0	78.5	Dravidian	Dravidian	Verbal Categories
tvo	Tatar	3	Other	56.0	49.5	Turkic	Altaic	Verbal Categories
tel	Telugu	1	Verbal constructions	16.0	79.0	Dravidian	Dravidian	Verbal Categories
teo	Teop	3	Other	-5.66666666667	155.0	Oceanic	Austronesian	Verbal Categories
tha	Thai	1	Verbal constructions	16.0	101.0	Kam-Tai	Tai-Kadai	Verbal Categories
tgr	Tigré	3	Other	16.5	38.5	Semitic	Afro-Asiatic	Verbal Categories
tja	Tiipay (Jamul)	2	Affixes on verbs	32.1666666667	-116.5	Yuman	Hokan	Verbal Categories
tin	Tinrin	3	Other	-21.6666666667	165.75	Oceanic	Austronesian	Verbal Categories
tiw	Tiwi	2	Affixes on verbs	-11.5	131.0	Tiwian	Tiwian	Verbal Categories
tli	Tlingit	3	Other	59.0	-135.0	Tlingit	Na-Dene	Verbal Categories
tor	Toratán	3	Other	1.08333333333	124.833333333	Sangiric	Austronesian	Verbal Categories
tru	Trumai	2	Affixes on verbs	-11.9166666667	-53.5833333333	Trumai	Trumai	Verbal Categories
tsi	Tsimshian (Coast)	2	Affixes on verbs	52.5	-129.0	Tsimshianic	Tsimshianic	Verbal Categories
tuk	Tukang Besi	1	Verbal constructions	-5.5	123.5	Celebic	Austronesian	Verbal Categories
tur	Turkish	2	Affixes on verbs	39.0	35.0	Turkic	Altaic	Verbal Categories
tvl	Tuvaluan	3	Other	-8.5	179.166666667	Oceanic	Austronesian	Verbal Categories
tuv	Tuvan	1	Verbal constructions	52.0	95.0	Turkic	Altaic	Verbal Categories
udh	Udihe	2	Affixes on verbs	47.6666666667	136.25	Tungusic	Altaic	Verbal Categories
una	Una	2	Affixes on verbs	-4.66666666667	140.0	Mek	Trans-New Guinea	Verbal Categories
ung	Ungarinjin	3	Other	-16.3333333333	126.0	Worrorran	Worrorran	Verbal Categories
urk	Urubú-Kaapor	3	Other	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Verbal Categories
usa	Usan	2	Affixes on verbs	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Verbal Categories
uzb	Uzbek	3	Other	39.0	66.0	Turkic	Altaic	Verbal Categories
vie	Vietnamese	1	Verbal constructions	10.5	106.5	Vietic	Austro-Asiatic	Verbal Categories
vot	Votic	2	Affixes on verbs	59.5	30.0	Finnic	Uralic	Verbal Categories
wam	Wambaya	2	Affixes on verbs	-18.6666666667	135.75	Wambayan	Mirndi	Verbal Categories
wra	Warao	2	Affixes on verbs	9.33333333333	-61.6666666667	Warao	Warao	Verbal Categories
wrd	Wardaman	2	Affixes on verbs	-15.5	131.0	Yangmanic	Yangmanic	Verbal Categories
war	Wari'	2	Affixes on verbs	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Verbal Categories
wel	Welsh	3	Other	52.0	-3.0	Celtic	Indo-European	Verbal Categories
wch	Wichí	3	Other	-22.5	-62.5833333333	Matacoan	Matacoan	Verbal Categories
wlf	Wolof	1	Verbal constructions	15.25	-16.0	Wolof	Niger-Congo	Verbal Categories
yag	Yagua	2	Affixes on verbs	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Verbal Categories
yaq	Yaqui	2	Affixes on verbs	27.5	-110.25	Cahita	Uto-Aztecan	Verbal Categories
yid	Yidiny	3	Other	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Verbal Categories
yim	Yimas	2	Affixes on verbs	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Verbal Categories
yor	Yoruba	1	Verbal constructions	8.0	4.33333333333	Defoid	Niger-Congo	Verbal Categories
yuc	Yuchi	2	Affixes on verbs	35.75	-86.75	Yuchi	Yuchi	Verbal Categories
yko	Yukaghir (Kolyma)	2	Affixes on verbs	65.75	150.833333333	Yukaghir	Yukaghir	Verbal Categories
ypk	Yup'ik (Central)	2	Affixes on verbs	59.5	-160.0	Eskimo	Eskimo-Aleut	Verbal Categories
yur	Yurok	3	Other	41.3333333333	-124.0	Yurok	Algic	Verbal Categories
zya	Zapotec (Yatzachi)	2	Affixes on verbs	17.2	-96.2	Zapotecan	Oto-Manguean	Verbal Categories
zqc	Zoque (Copainalá)	2	Affixes on verbs	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Verbal Categories
zul	Zulu	2	Affixes on verbs	-30.0	30.0	Bantu	Niger-Congo	Verbal Categories
