wals code	name	value	description	latitude	longitude	genus	family	area
qco	Quechua (Cochabamba)	1	Present, no remoteness distinctions	-17.5	-66.0	Quechuan	Quechuan	Verbal Categories
qim	Quechua (Imbabura)	1	Present, no remoteness distinctions	0.333333333333	-78.0	Quechuan	Quechuan	Verbal Categories
ram	Rama	1	Present, no remoteness distinctions	11.75	-83.75	Rama	Chibchan	Verbal Categories
rap	Rapanui	1	Present, no remoteness distinctions	-27.1166666667	-109.366666667	Oceanic	Austronesian	Verbal Categories
raw	Rawang	1	Present, no remoteness distinctions	27.5	97.5	Nungish	Sino-Tibetan	Verbal Categories
ren	Rendille	4	No past tense	2.0	37.5	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
rom	Romanian	1	Present, no remoteness distinctions	46.0	25.0	Romance	Indo-European	Verbal Categories
ruk	Rukai (Tanan)	1	Present, no remoteness distinctions	22.8333333333	120.833333333	Rukai	Austronesian	Verbal Categories
rus	Russian	1	Present, no remoteness distinctions	56.0	38.0	Slavic	Indo-European	Verbal Categories
san	Sango	4	No past tense	5.0	18.0	Ubangi	Niger-Congo	Verbal Categories
snm	Sanuma	2	Present, 2-3 remoteness distinctions	4.5	-64.6666666667	Yanomam	Yanomam	Verbal Categories
sml	Semelai	4	No past tense	3.0	103.0	Aslian	Austro-Asiatic	Verbal Categories
snc	Seneca	4	No past tense	42.5	-77.5	Northern Iroquoian	Iroquoian	Verbal Categories
ses	Sesotho	2	Present, 2-3 remoteness distinctions	-28.0	27.0	Bantu	Niger-Congo	Verbal Categories
shu	Shuswap	4	No past tense	52.0	-120.0	Interior Salish	Salishan	Verbal Categories
sla	Slave	2	Present, 2-3 remoteness distinctions	67.0	-125.0	Athapaskan	Na-Dene	Verbal Categories
som	Somali	1	Present, no remoteness distinctions	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
spa	Spanish	1	Present, no remoteness distinctions	40.0	-4.0	Romance	Indo-European	Verbal Categories
sue	Suena	2	Present, 2-3 remoteness distinctions	-7.75	147.55	Binanderean	Trans-New Guinea	Verbal Categories
sun	Sundanese	4	No past tense	-7.0	107.0	Malayo-Sumbawan	Austronesian	Verbal Categories
sup	Supyire	2	Present, 2-3 remoteness distinctions	11.5	-5.58333333333	Senufo	Niger-Congo	Verbal Categories
swa	Swahili	1	Present, no remoteness distinctions	-6.5	39.0	Bantu	Niger-Congo	Verbal Categories
swe	Swedish	1	Present, no remoteness distinctions	60.0	15.0	Germanic	Indo-European	Verbal Categories
