wals code	name	value	description	latitude	longitude	genus	family	area
epe	Epena Pedee	4	No indefinite, but definite article	3.0	-77.0	Choco	Choco	Nominal Categories
err	Erromangan	1	Indefinite word distinct from 'one'	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Categories
est	Estonian	5	No definite or indefinite article	59.0	26.0	Finnic	Uralic	Nominal Categories
eud	Eudeve	5	No definite or indefinite article	29.1666666667	-109.666666667	Opata-Eudeve	Uto-Aztecan	Nominal Categories
evn	Even	5	No definite or indefinite article	68.0	130.0	Tungusic	Altaic	Nominal Categories
eve	Evenki	5	No definite or indefinite article	56.0	125.0	Tungusic	Altaic	Nominal Categories
ewe	Ewe	1	Indefinite word distinct from 'one'	6.33333333333	0.416666666667	Gbe	Niger-Congo	Nominal Categories
fij	Fijian	5	No definite or indefinite article	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Categories
fin	Finnish	5	No definite or indefinite article	62.0	25.0	Finnic	Uralic	Nominal Categories
pdp	Folopa	1	Indefinite word distinct from 'one'	-7.0	144.5	Teberan	Teberan-Pawaian	Nominal Categories
fon	Fongbe	1	Indefinite word distinct from 'one'	6.41666666667	2.16666666667	Gbe	Niger-Congo	Nominal Categories
fre	French	2	Indefinite word same as 'one'	48.0	2.0	Romance	Indo-European	Nominal Categories
fri	Frisian	1	Indefinite word distinct from 'one'	53.0	5.0	Germanic	Indo-European	Nominal Categories
fut	Futuna-Aniwa	1	Indefinite word distinct from 'one'	-19.5333333333	170.216666667	Oceanic	Austronesian	Nominal Categories
fye	Fyem	1	Indefinite word distinct from 'one'	9.58333333333	9.33333333333	Benue-Congo Plateau	Niger-Congo	Nominal Categories
gnd	Ga'anda	3	Indefinite affix	10.3333333333	12.5833333333	Biu-Mandara	Afro-Asiatic	Nominal Categories
gae	Gaelic (Scots)	4	No indefinite, but definite article	57.0	-4.0	Celtic	Indo-European	Nominal Categories
gah	Gahuku	3	Indefinite affix	-6.0	145.416666667	Gahuku	Trans-New Guinea	Nominal Categories
gar	Garo	5	No definite or indefinite article	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Nominal Categories
gbb	Gbeya Bossangoa	1	Indefinite word distinct from 'one'	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Nominal Categories
gel	Gela	4	No indefinite, but definite article	-9.08333333333	160.25	Oceanic	Austronesian	Nominal Categories
ger	German	2	Indefinite word same as 'one'	52.0	10.0	Germanic	Indo-European	Nominal Categories
gil	Gilaki	2	Indefinite word same as 'one'	37.3333333333	50.0	Iranian	Indo-European	Nominal Categories
goe	Goemai	4	No indefinite, but definite article	8.66666666667	9.75	West Chadic	Afro-Asiatic	Nominal Categories
gok	Gokana	4	No indefinite, but definite article	4.58333333333	7.33333333333	Ogonoid	Niger-Congo	Nominal Categories
gln	Golin	5	No definite or indefinite article	-6.33333333333	144.75	Chimbu-Wahgi	Trans-New Guinea	Nominal Categories
gon	Gondi	5	No definite or indefinite article	19.0	81.0	Dravidian	Dravidian	Nominal Categories
grb	Grebo	5	No definite or indefinite article	5.0	-8.0	Kru	Niger-Congo	Nominal Categories
grk	Greek (Modern)	2	Indefinite word same as 'one'	39.0	22.0	Greek	Indo-European	Nominal Categories
grw	Greenlandic (West)	5	No definite or indefinite article	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Categories
gua	Guaraní	4	No indefinite, but definite article	-26.0	-56.0	Maweti-Guarani	Tupian	Nominal Categories
gul	Gula (in Central African Republic)	1	Indefinite word distinct from 'one'	9.5	22.5	Bongo-Bagirmi	Central Sudanic	Nominal Categories
gmw	Gumawana	2	Indefinite word same as 'one'	-9.25	150.833333333	Oceanic	Austronesian	Nominal Categories
gnn	Gunin	4	No indefinite, but definite article	-14.25	126.666666667	Worrorran	Worrorran	Nominal Categories
gur	Gurung	5	No definite or indefinite article	28.3333333333	84.3333333333	Bodic	Sino-Tibetan	Nominal Categories
gwa	Gwari	1	Indefinite word distinct from 'one'	9.5	7.0	Nupoid	Niger-Congo	Nominal Categories
gwo	Gworok	2	Indefinite word same as 'one'	9.91666666667	8.16666666667	Benue-Congo Plateau	Niger-Congo	Nominal Categories
ga	Gã	1	Indefinite word distinct from 'one'	5.66666666667	-0.166666666667	Ga-Dangme	Niger-Congo	Nominal Categories
hai	Haida	4	No indefinite, but definite article	53.0	-132.0	Haida	Haida	Nominal Categories
hat	Hatam	5	No definite or indefinite article	-1.0	134.0	Hatim-Mansim	Hatim-Mansim	Nominal Categories
hau	Hausa	1	Indefinite word distinct from 'one'	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	1	Indefinite word distinct from 'one'	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Categories
heb	Hebrew (Modern)	2	Indefinite word same as 'one'	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	5	No definite or indefinite article	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	5	No definite or indefinite article	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	2	Indefinite word same as 'one'	28.0	105.0	Hmongic	Hmong-Mien	Nominal Categories
hoa	Hoava	2	Indefinite word same as 'one'	-8.08333333333	157.5	Oceanic	Austronesian	Nominal Categories
htc	Huastec	2	Indefinite word same as 'one'	22.0833333333	-99.3333333333	Mayan	Mayan	Nominal Categories
hmi	Huitoto (Minica)	5	No definite or indefinite article	-0.333333333333	-74.0	Witoto	Witotoan	Nominal Categories
hnd	Hunde	4	No indefinite, but definite article	-1.16666666667	28.8333333333	Bantu	Niger-Congo	Nominal Categories
hun	Hungarian	1	Indefinite word distinct from 'one'	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	5	No definite or indefinite article	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
isa	I'saka	5	No definite or indefinite article	-2.83333333333	141.283333333	Krisa	Skou	Nominal Categories
iaa	Iaai	1	Indefinite word distinct from 'one'	-20.4166666667	166.583333333	Oceanic	Austronesian	Nominal Categories
iba	Iban	5	No definite or indefinite article	2.0	112.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ice	Icelandic	4	No indefinite, but definite article	65.0	-17.0	Germanic	Indo-European	Nominal Categories
ijo	Ijo (Kolokuma)	3	Indefinite affix	4.91666666667	5.66666666667	Ijoid	Ijoid	Nominal Categories
ika	Ika	5	No definite or indefinite article	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
imo	Imonda	5	No definite or indefinite article	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ina	Inanwatan	4	No indefinite, but definite article	-2.08333333333	132.083333333	Inanwatan	South Bird's Head	Nominal Categories
ind	Indonesian	4	No indefinite, but definite article	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ing	Ingush	5	No definite or indefinite article	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	5	No definite or indefinite article	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
iri	Irish	4	No indefinite, but definite article	53.0	-8.0	Celtic	Indo-European	Nominal Categories
ita	Italian	2	Indefinite word same as 'one'	43.0	12.0	Romance	Indo-European	Nominal Categories
ite	Itelmen	5	No definite or indefinite article	57.0	157.5	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
izi	Izi	4	No indefinite, but definite article	6.33333333333	8.0	Igboid	Niger-Congo	Nominal Categories
jab	Jabêm	5	No definite or indefinite article	-6.58333333333	147.783333333	Oceanic	Austronesian	Nominal Categories
jak	Jakaltek	2	Indefinite word same as 'one'	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jms	Jamsay	1	Indefinite word distinct from 'one'	14.4166666667	-2.5	Dogon	Dogon	Nominal Categories
jpn	Japanese	1	Indefinite word distinct from 'one'	37.0	140.0	Japanese	Japanese	Nominal Categories
jng	Jingpho	5	No definite or indefinite article	25.4166666667	97.0	Brahmaputran	Sino-Tibetan	Nominal Categories
juk	Jukun	1	Indefinite word distinct from 'one'	6.91666666667	10.4166666667	Jukunoid	Niger-Congo	Nominal Categories
jmo	Jur Mödö	4	No indefinite, but definite article	6.0	30.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
juh	Ju|'hoan	1	Indefinite word distinct from 'one'	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kad	Kadugli	5	No definite or indefinite article	11.0	29.6666666667	Kadugli	Kadu	Nominal Categories
kmk	Kalmyk	5	No definite or indefinite article	44.0	83.0	Mongolic	Altaic	Nominal Categories
kma	Kamaiurá	5	No definite or indefinite article	-12.0833333333	-52.5833333333	Maweti-Guarani	Tupian	Nominal Categories
kan	Kana	4	No indefinite, but definite article	4.75	7.41666666667	Ogonoid	Niger-Congo	Nominal Categories
knd	Kannada	2	Indefinite word same as 'one'	14.0	76.0	Dravidian	Dravidian	Nominal Categories
knr	Kanuri	1	Indefinite word distinct from 'one'	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krc	Karachay-Balkar	2	Indefinite word same as 'one'	43.5	42.0	Turkic	Altaic	Nominal Categories
kkp	Karakalpak	2	Indefinite word same as 'one'	43.0	60.0	Turkic	Altaic	Nominal Categories
kbw	Karen (Bwe)	2	Indefinite word same as 'one'	19.5	97.0	Karen	Sino-Tibetan	Nominal Categories
ksg	Karen (Sgaw)	5	No definite or indefinite article	18.0	97.0	Karen	Sino-Tibetan	Nominal Categories
kmj	Karimojong	5	No definite or indefinite article	3.0	34.1666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
kaa	Karó (Arára)	5	No definite or indefinite article	-10.3333333333	-62.0	Ramarama	Tupian	Nominal Categories
kau	Kaulong	1	Indefinite word distinct from 'one'	-6.16666666667	149.666666667	Oceanic	Austronesian	Nominal Categories
kay	Kayardild	2	Indefinite word same as 'one'	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
ket	Ket	5	No definite or indefinite article	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kew	Kewa	5	No definite or indefinite article	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
khl	Khalaj	2	Indefinite word same as 'one'	35.0	50.0	Turkic	Altaic	Nominal Categories
khg	Khaling	5	No definite or indefinite article	27.5	86.6666666667	Himalayish	Sino-Tibetan	Nominal Categories
kha	Khalkha	5	No definite or indefinite article	47.0	105.0	Mongolic	Altaic	Nominal Categories
kmh	Kham	5	No definite or indefinite article	28.5	82.75	Himalayish	Sino-Tibetan	Nominal Categories
khs	Khasi	5	No definite or indefinite article	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
klv	Kilivila	5	No definite or indefinite article	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
klw	Kiliwa	3	Indefinite affix	31.3333333333	-115.666666667	Yuman	Hokan	Nominal Categories
knn	Kinnauri	2	Indefinite word same as 'one'	31.5	78.0	Bodic	Sino-Tibetan	Nominal Categories
kio	Kiowa	5	No definite or indefinite article	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
kgz	Kirghiz	2	Indefinite word same as 'one'	42.0	75.0	Turkic	Altaic	Nominal Categories
kis	Kisi	5	No definite or indefinite article	8.83333333333	-10.1666666667	Southern Mel	Niger-Congo	Nominal Categories
kla	Klao	4	No indefinite, but definite article	4.75	-8.75	Kru	Niger-Congo	Nominal Categories
kob	Kobon	1	Indefinite word distinct from 'one'	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Nominal Categories
kkt	Kokota	1	Indefinite word distinct from 'one'	-8.0	159.133333333	Oceanic	Austronesian	Nominal Categories
kmb	Kombai	5	No definite or indefinite article	-5.58333333333	140.0	Ndeiram	Trans-New Guinea	Nominal Categories
xbi	Kombio	2	Indefinite word same as 'one'	-3.5	142.75	Kombio-Arapesh	Torricelli	Nominal Categories
kni	Konni	3	Indefinite affix	10.25	-1.58333333333	Oti-Volta	Niger-Congo	Nominal Categories
krn	Korana	5	No definite or indefinite article	-29.5	20.5	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
kor	Korean	5	No definite or indefinite article	37.5	128.0	Korean	Korean	Nominal Categories
kfe	Koromfe	4	No indefinite, but definite article	14.25	-0.916666666667	Koromfe	Niger-Congo	Nominal Categories
krw	Korowai	3	Indefinite affix	-5.25	140.0	Becking-Dawi	Trans-New Guinea	Nominal Categories
kos	Kosraean	4	No indefinite, but definite article	5.3	163.0	Oceanic	Austronesian	Nominal Categories
kse	Koyraboro Senni	4	No indefinite, but definite article	16.0	0.0	Songhay	Songhay	Nominal Categories
kpo	Kposo	3	Indefinite affix	7.5	0.833333333333	Ka-Togo	Niger-Congo	Nominal Categories
kro	Krongo	5	No definite or indefinite article	10.5	30.0	Kadugli	Kadu	Nominal Categories
knc	Kugu Nganhcara	5	No definite or indefinite article	-14.4166666667	142.0	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
knm	Kunama	4	No indefinite, but definite article	14.5	37.0	Kunama	Kunama	Nominal Categories
krd	Kurdish (Central)	3	Indefinite affix	36.0	44.0	Iranian	Indo-European	Nominal Categories
kut	Kutenai	4	No indefinite, but definite article	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
thy	Kuuk Thaayorre	5	No definite or indefinite article	-14.5833333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
kwn	Kwangali	5	No definite or indefinite article	-18.0	19.5	Bantu	Niger-Congo	Nominal Categories
kwo	Kwoma	4	No indefinite, but definite article	-4.16666666667	142.75	Nukuma	Sepik	Nominal Categories
kyk	Kyaka	1	Indefinite word distinct from 'one'	-5.55	144.083333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
lad	Ladakhi	3	Indefinite affix	34.0	78.0	Bodic	Sino-Tibetan	Nominal Categories
lah	Lahu	2	Indefinite word same as 'one'	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lai	Lai	5	No definite or indefinite article	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
lkt	Lakhota	1	Indefinite word distinct from 'one'	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Nominal Categories
lal	Lalo	5	No definite or indefinite article	25.0	100.25	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lmh	Lamaholot	2	Indefinite word same as 'one'	-8.25	122.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
lmg	Lamang	1	Indefinite word distinct from 'one'	11.25	13.5833333333	Biu-Mandara	Afro-Asiatic	Nominal Categories
